amount_requested,amount_funded_by_investors,interest_rate,loan_length,loan_purpose,debt_to_income_ratio,home_ownership,monthly_income,fico_range,open_credit_lines,revolving_credit_balance,employment_length
25000.0,25000.0,18.49,60.0,debt_consolidation,27.56,MORTGAGE,8606.56,722.0,11.0,15210.0,5.0
19750.0,19750.0,17.27,60.0,debt_consolidation,13.39,MORTGAGE,6737.5,712.0,14.0,19070.0,4.0
2100.0,2100.0,14.33,36.0,major_purchase,3.5,OWN,1000.0,692.0,13.0,893.0,0.5
28000.0,28000.0,16.29,36.0,credit_card,19.62,MORTGAGE,7083.33,712.0,12.0,38194.0,11.0
24250.0,17431.82,12.23,60.0,credit_card,23.79,MORTGAGE,5833.33,732.0,6.0,31061.0,11.0
16000.0,16000.0,22.47,60.0,credit_card,11.27,RENT,4791.67,667.0,5.0,8474.0,2.0
6400.0,6400.0,7.51,36.0,major_purchase,9.58,RENT,6400.0,737.0,11.0,12306.0,0.5
9000.0,9000.0,10.16,36.0,debt_consolidation,13.76,RENT,5166.67,712.0,10.0,6490.0,11.0
13000.0,12975.0,9.99,60.0,home_improvement,8.77,MORTGAGE,10500.0,794.5,8.0,6810.0,11.0
10000.0,10000.0,14.22,36.0,debt_consolidation,12.24,RENT,2541.67,682.0,4.0,13667.0,8.0
7350.0,7350.0,10.74,60.0,debt_consolidation,29.82,MORTGAGE,5000.0,747.0,15.0,15093.0,4.0
17000.0,16975.0,11.99,60.0,debt_consolidation,12.69,MORTGAGE,4666.67,747.0,17.0,11677.0,11.0
18825.0,18825.0,21.0,60.0,debt_consolidation,19.22,RENT,4583.33,682.0,8.0,17292.0,11.0
4200.0,4200.0,17.27,36.0,credit_card,14.78,RENT,2083.33,662.0,7.0,3690.0,0.5
5000.0,1750.04,11.54,36.0,other,10.36,RENT,3416.67,672.0,17.0,15301.0,1.0
6625.0,6625.0,17.77,36.0,debt_consolidation,33.43,RENT,2916.67,667.0,13.0,11369.0,1.0
15000.0,15000.0,12.12,36.0,credit_card,19.16,RENT,5000.0,707.0,18.0,13830.0,11.0
29175.0,29175.0,21.0,60.0,credit_card,8.83,RENT,12041.675,697.0,9.0,15308.0,4.0
6000.0,6000.0,11.89,36.0,debt_consolidation,9.77,RENT,4166.67,697.0,13.0,15377.0,11.0
10000.0,10000.0,13.47,36.0,car,5.59,RENT,4583.0,692.0,6.0,2432.0,4.0
22000.0,22000.0,14.65,60.0,debt_consolidation,29.26,MORTGAGE,3912.0,707.0,8.0,21633.0,11.0
